state,cases_2018,cases_2019,cases_2020,cases_2021,cases_2022,population_millions,severity_weight
West Bengal,3579,3780,3200,3500,3891,91.3,1.8
Rajasthan,1890,2100,1800,2200,2450,68.5,1.6
Maharashtra,1200,1350,1100,1400,1520,112.4,1.4
Tamil Nadu,980,1050,890,1100,1180,72.1,1.3
Andhra Pradesh,850,920,780,950,1020,49.4,1.4
Odisha,1100,1180,1050,1200,1320,41.9,1.7
Uttar Pradesh,1450,1600,1380,1700,1890,199.8,1.5
Bihar,980,1050,900,1100,1200,104.1,1.6
Delhi,380,410,350,400,412,16.8,1.5
Karnataka,520,580,480,620,680,61.1,1.3
Gujarat,420,460,390,480,510,60.4,1.2
Madhya Pradesh,760,820,700,880,950,72.6,1.5
Jharkhand,890,950,820,980,1050,32.9,1.7
Assam,670,720,610,750,820,31.2,1.6
Kerala,310,340,280,360,390,33.4,1.2
Punjab,290,320,270,340,370,27.7,1.3
Haryana,340,370,310,390,420,25.4,1.3
Chhattisgarh,480,520,440,560,610,25.5,1.5
Uttarakhand,180,200,160,210,230,10.1,1.3
Himachal Pradesh,90,100,80,110,120,6.9,1.2
Goa,60,70,55,75,80,1.5,1.2
Manipur,210,230,190,240,260,2.9,1.6
Meghalaya,150,170,140,180,195,2.9,1.5
Tripura,180,200,165,210,225,3.7,1.5
Nagaland,80,90,70,95,105,2.0,1.4
Mizoram,70,80,65,85,92,1.1,1.4
Arunachal Pradesh,55,62,50,68,74,1.4,1.4
Sikkim,25,28,22,30,33,0.6,1.3
Jammu & Kashmir,120,135,110,145,158,12.5,1.4
Telangana,430,470,400,500,540,35.0,1.3
